topic_id	Q0	docno	rank	score	tag
1	Q0	AP881022-0050	1	0.99690855	run_name
1	Q0	AP880302-0110	2	0.9967984	run_name
1	Q0	AP880614-0007	3	0.9966844	run_name
1	Q0	AP880608-0268	4	0.9965343	run_name
1	Q0	AP880910-0183	5	0.99645853	run_name
1	Q0	AP881114-0155	6	0.99644244	run_name
1	Q0	AP880908-0120	7	0.9964068	run_name
1	Q0	AP880929-0135	8	0.9964068	run_name
1	Q0	AP880524-0267	9	0.9963945	run_name
1	Q0	AP881207-0217	10	0.99634504	run_name
1	Q0	AP881208-0033	11	0.99634504	run_name
1	Q0	AP880222-0204	12	0.9963319	run_name
1	Q0	AP880719-0010	13	0.9963319	run_name
1	Q0	AP880726-0084	14	0.9963319	run_name
1	Q0	AP880809-0160	15	0.9963319	run_name
1	Q0	AP881216-0217	16	0.9963231	run_name
1	Q0	AP880830-0078	17	0.99630076	run_name
1	Q0	AP880901-0082	18	0.9962971	run_name
1	Q0	AP880714-0181	19	0.99625486	run_name
1	Q0	AP881025-0071	20	0.99625325	run_name
1	Q0	AP880212-0117	21	0.9962195	run_name
1	Q0	AP880215-0228	22	0.9962195	run_name
1	Q0	AP880215-0229	23	0.9962195	run_name
1	Q0	AP880216-0034	24	0.9962195	run_name
1	Q0	AP880217-0185	25	0.9962195	run_name
1	Q0	AP880219-0224	26	0.9962195	run_name
1	Q0	AP880222-0230	27	0.9962195	run_name
1	Q0	AP880222-0231	28	0.9962195	run_name
1	Q0	AP880225-0264	29	0.9962195	run_name
1	Q0	AP880225-0265	30	0.9962195	run_name
1	Q0	AP880225-0268	31	0.9962195	run_name
1	Q0	AP880227-0164	32	0.9962195	run_name
1	Q0	AP880229-0248	33	0.9962195	run_name
1	Q0	AP880229-0256	34	0.9962195	run_name
1	Q0	AP880229-0257	35	0.9962195	run_name
1	Q0	AP880302-0244	36	0.9962195	run_name
1	Q0	AP880302-0264	37	0.9962195	run_name
1	Q0	AP880303-0304	38	0.9962195	run_name
1	Q0	AP880307-0216	39	0.9962195	run_name
1	Q0	AP880310-0259	40	0.9962195	run_name
1	Q0	AP880311-0258	41	0.9962195	run_name
1	Q0	AP880314-0258	42	0.9962195	run_name
1	Q0	AP880314-0259	43	0.9962195	run_name
1	Q0	AP880325-0277	44	0.9962195	run_name
1	Q0	AP880326-0192	45	0.9962195	run_name
1	Q0	AP880328-0205	46	0.9962195	run_name
1	Q0	AP880328-0214	47	0.9962195	run_name
1	Q0	AP880328-0215	48	0.9962195	run_name
1	Q0	AP880403-0056	49	0.9962195	run_name
1	Q0	AP880404-0180	50	0.9962195	run_name
1	Q0	AP880404-0205	51	0.9962195	run_name
1	Q0	AP880404-0208	52	0.9962195	run_name
1	Q0	AP880404-0211	53	0.9962195	run_name
1	Q0	AP880404-0213	54	0.9962195	run_name
1	Q0	AP880404-0214	55	0.9962195	run_name
1	Q0	AP880407-0298	56	0.9962195	run_name
1	Q0	AP880411-0224	57	0.9962195	run_name
1	Q0	AP880411-0226	58	0.9962195	run_name
1	Q0	AP880411-0235	59	0.9962195	run_name
1	Q0	AP880413-0258	60	0.9962195	run_name
1	Q0	AP880414-0065	61	0.9962195	run_name
1	Q0	AP880418-0052	62	0.9962195	run_name
1	Q0	AP880418-0243	63	0.9962195	run_name
1	Q0	AP880418-0244	64	0.9962195	run_name
1	Q0	AP880418-0250	65	0.9962195	run_name
1	Q0	AP880421-0001	66	0.9962195	run_name
1	Q0	AP880421-0255	67	0.9962195	run_name
1	Q0	AP880423-0040	68	0.9962195	run_name
1	Q0	AP880425-0045	69	0.9962195	run_name
1	Q0	AP880425-0246	70	0.9962195	run_name
1	Q0	AP880425-0247	71	0.9962195	run_name
1	Q0	AP880427-0271	72	0.9962195	run_name
1	Q0	AP880429-0060	73	0.9962195	run_name
1	Q0	AP880430-0072	74	0.9962195	run_name
1	Q0	AP880502-0243	75	0.9962195	run_name
1	Q0	AP880502-0248	76	0.9962195	run_name
1	Q0	AP880502-0249	77	0.9962195	run_name
1	Q0	AP880504-0159	78	0.9962195	run_name
1	Q0	AP880504-0296	79	0.9962195	run_name
1	Q0	AP880505-0014	80	0.9962195	run_name
1	Q0	AP880506-0248	81	0.9962195	run_name
1	Q0	AP880507-0091	82	0.9962195	run_name
1	Q0	AP880509-0205	83	0.9962195	run_name
1	Q0	AP880509-0214	84	0.9962195	run_name
1	Q0	AP880509-0216	85	0.9962195	run_name
1	Q0	AP880509-0217	86	0.9962195	run_name
1	Q0	AP880516-0245	87	0.9962195	run_name
1	Q0	AP880516-0246	88	0.9962195	run_name
1	Q0	AP880516-0249	89	0.9962195	run_name
1	Q0	AP880516-0254	90	0.9962195	run_name
1	Q0	AP880516-0255	91	0.9962195	run_name
1	Q0	AP880516-0266	92	0.9962195	run_name
1	Q0	AP880519-0302	93	0.9962195	run_name
1	Q0	AP880531-0253	94	0.9962195	run_name
1	Q0	AP880531-0254	95	0.9962195	run_name
1	Q0	AP880531-0259	96	0.9962195	run_name
1	Q0	AP880531-0260	97	0.9962195	run_name
1	Q0	AP880531-0263	98	0.9962195	run_name
1	Q0	AP880531-0264	99	0.9962195	run_name
1	Q0	AP880602-0305	100	0.9962195	run_name
1	Q0	AP880606-0229	101	0.9962195	run_name
1	Q0	AP880606-0230	102	0.9962195	run_name
1	Q0	AP880608-0270	103	0.9962195	run_name
1	Q0	AP880613-0233	104	0.9962195	run_name
1	Q0	AP880613-0237	105	0.9962195	run_name
1	Q0	AP880620-0223	106	0.9962195	run_name
1	Q0	AP880620-0224	107	0.9962195	run_name
1	Q0	AP880624-0264	108	0.9962195	run_name
1	Q0	AP880624-0267	109	0.9962195	run_name
1	Q0	AP880627-0213	110	0.9962195	run_name
1	Q0	AP880627-0214	111	0.9962195	run_name
1	Q0	AP880627-0215	112	0.9962195	run_name
1	Q0	AP880627-0219	113	0.9962195	run_name
1	Q0	AP880627-0223	114	0.9962195	run_name
1	Q0	AP880627-0224	115	0.9962195	run_name
1	Q0	AP880705-0221	116	0.9962195	run_name
1	Q0	AP880705-0223	117	0.9962195	run_name
1	Q0	AP880705-0224	118	0.9962195	run_name
1	Q0	AP880705-0226	119	0.9962195	run_name
1	Q0	AP880705-0230	120	0.9962195	run_name
1	Q0	AP880705-0231	121	0.9962195	run_name
1	Q0	AP880706-0049	122	0.9962195	run_name
1	Q0	AP880708-0248	123	0.9962195	run_name
1	Q0	AP880711-0186	124	0.9962195	run_name
1	Q0	AP880713-0149	125	0.9962195	run_name
1	Q0	AP880714-0250	126	0.9962195	run_name
1	Q0	AP880718-0218	127	0.9962195	run_name
1	Q0	AP880718-0227	128	0.9962195	run_name
1	Q0	AP880719-0008	129	0.9962195	run_name
1	Q0	AP880719-0199	130	0.9962195	run_name
1	Q0	AP880719-0254	131	0.9962195	run_name
1	Q0	AP880719-0255	132	0.9962195	run_name
1	Q0	AP880719-0263	133	0.9962195	run_name
1	Q0	AP880719-0265	134	0.9962195	run_name
1	Q0	AP880725-0217	135	0.9962195	run_name
1	Q0	AP880725-0224	136	0.9962195	run_name
1	Q0	AP880725-0225	137	0.9962195	run_name
1	Q0	AP880729-0280	138	0.9962195	run_name
1	Q0	AP880801-0214	139	0.9962195	run_name
1	Q0	AP880801-0220	140	0.9962195	run_name
1	Q0	AP880801-0221	141	0.9962195	run_name
1	Q0	AP880803-0059	142	0.9962195	run_name
1	Q0	AP880808-0180	143	0.9962195	run_name
1	Q0	AP880808-0181	144	0.9962195	run_name
1	Q0	AP880810-0279	145	0.9962195	run_name
1	Q0	AP880811-0235	146	0.9962195	run_name
1	Q0	AP880812-0102	147	0.9962195	run_name
1	Q0	AP880815-0065	148	0.9962195	run_name
1	Q0	AP880815-0247	149	0.9962195	run_name
1	Q0	AP880815-0256	150	0.9962195	run_name
1	Q0	AP880815-0257	151	0.9962195	run_name
1	Q0	AP880818-0189	152	0.9962195	run_name
1	Q0	AP880819-0229	153	0.9962195	run_name
1	Q0	AP880822-0223	154	0.9962195	run_name
1	Q0	AP880822-0224	155	0.9962195	run_name
1	Q0	AP880823-0028	156	0.9962195	run_name
1	Q0	AP880823-0046	157	0.9962195	run_name
1	Q0	AP880824-0036	158	0.9962195	run_name
1	Q0	AP880825-0189	159	0.9962195	run_name
1	Q0	AP880825-0249	160	0.9962195	run_name
1	Q0	AP880826-0049	161	0.9962195	run_name
1	Q0	AP880828-0016	162	0.9962195	run_name
1	Q0	AP880829-0213	163	0.9962195	run_name
1	Q0	AP880830-0230	164	0.9962195	run_name
1	Q0	AP880906-0187	165	0.9962195	run_name
1	Q0	AP880906-0188	166	0.9962195	run_name
1	Q0	AP880908-0252	167	0.9962195	run_name
1	Q0	AP880920-0244	168	0.9962195	run_name
1	Q0	AP880921-0213	169	0.9962195	run_name
1	Q0	AP880926-0155	170	0.9962195	run_name
1	Q0	AP880929-0045	171	0.9962195	run_name
1	Q0	AP880929-0175	172	0.9962195	run_name
1	Q0	AP880930-0177	173	0.9962195	run_name
1	Q0	AP881003-0308	174	0.9962195	run_name
1	Q0	AP881010-0214	175	0.9962195	run_name
1	Q0	AP881010-0215	176	0.9962195	run_name
1	Q0	AP881010-0249	177	0.9962195	run_name
1	Q0	AP881012-0242	178	0.9962195	run_name
1	Q0	AP881012-0253	179	0.9962195	run_name
1	Q0	AP881018-0227	180	0.9962195	run_name
1	Q0	AP881023-0093	181	0.9962195	run_name
1	Q0	AP881023-0094	182	0.9962195	run_name
1	Q0	AP881023-0096	183	0.9962195	run_name
1	Q0	AP881023-0111	184	0.9962195	run_name
1	Q0	AP881023-0114	185	0.9962195	run_name
1	Q0	AP881024-0206	186	0.9962195	run_name
1	Q0	AP881024-0207	187	0.9962195	run_name
1	Q0	AP881027-0266	188	0.9962195	run_name
1	Q0	AP881031-0256	189	0.9962195	run_name
1	Q0	AP881031-0257	190	0.9962195	run_name
1	Q0	AP881102-0288	191	0.9962195	run_name
1	Q0	AP881102-0307	192	0.9962195	run_name
1	Q0	AP881103-0278	193	0.9962195	run_name
1	Q0	AP881104-0321	194	0.9962195	run_name
